number,value,datetime_start,datetime_complete,duration,params_approach_bonus_base,params_dead_end_penalty,params_discard_2_exit_value,params_discard_3_4_exit_value,params_discard_dead_end_value,params_discard_duplicate_penalty,params_discard_enemy_door_value,params_discard_key_useless_value,params_discard_ladder_value,params_discard_own_door_value,params_down_opening_bonus,params_enemy_door_penalty,params_ladder_bonus,params_max_kept_repairs,params_own_door_bonus,params_retreat_penalty,params_side_step_bonus,state
76,1.129571588092709,2026-05-10 18:24:56.401803,2026-05-10 18:25:04.469144,0 days 00:00:08.067341,38.82798619624202,34.89535094253625,-4.756850885752399,65.11543112927288,-19.940902649536255,-17.73781370024685,-33.44482526151338,-28.04787172022377,55.835457049369474,-8.464193898512997,32.75534775052706,16.38372734846173,32.78195703673667,0,0.8513121774745116,63.43516417344291,6.381092043655375,COMPLETE
77,1.2906915765322844,2026-05-10 18:25:04.469186,2026-05-10 18:25:12.096970,0 days 00:00:07.627784,35.91880601385356,51.38607528725522,24.248559914574788,32.082606455768286,-6.594007920480655,-38.92451449306276,-18.043411042315178,-24.678793046042625,63.157712264945005,-10.9309421180746,29.794011289474064,17.727473760454604,27.114720678884787,0,2.519970606216876,51.232501395979426,4.212959588843962,COMPLETE
78,1.1868193594619922,2026-05-10 18:25:12.097010,2026-05-10 18:25:19.402385,0 days 00:00:07.305375,32.43818293971363,51.98950035727695,24.370233041108595,32.85029995369515,-5.66410571953264,-3.2074350163351406,-13.299451022080502,-18.330002904085667,64.53074602154729,-10.645833477265429,25.914680090790416,14.72993236972745,27.45101523237794,0,12.686483632166901,52.782882490040805,3.8447012308089343,COMPLETE
79,1.1786679747111402,2026-05-10 18:25:19.402427,2026-05-10 18:25:26.849798,0 days 00:00:07.447371,42.172452882114655,55.63703699617243,26.727538149271385,35.930834537438415,-44.34736506548394,-39.39509869683219,-10.128624611792283,-24.04735461822847,52.927846804227,-13.336511639131011,29.301840846444204,13.091915187802693,21.640977849443583,0,2.3600065123776357,61.74757037780658,4.437824268000519,COMPLETE
80,1.1446763583204742,2026-05-10 18:25:26.849841,2026-05-10 18:25:34.871099,0 days 00:00:08.021258,36.182711111842934,49.40522980298164,22.066303683530013,69.23698524823574,-9.929811915511507,-7.638510398030892,-18.22567458154724,-13.642999520027294,59.34670259723264,-17.278380815762272,26.6440636314082,20.460106954829676,29.11927090827774,0,3.6895002635325733,68.460978335803,5.800058630864718,COMPLETE
81,1.2734246838394645,2026-05-10 18:25:34.871142,2026-05-10 18:25:42.836792,0 days 00:00:07.965650,46.80427463906092,40.327962237942515,28.580212006878085,29.467478804060367,-6.818370211114832,-37.261188848034216,-14.636698655494538,-26.704690588361913,62.688870885791566,-11.201889849514838,36.0056636645593,15.803036370708789,31.413966594511738,0,0.0026290319391171213,50.73486121152408,5.076490283769164,COMPLETE
82,1.2332809430255403,2026-05-10 18:25:42.836834,2026-05-10 18:25:50.271592,0 days 00:00:07.434758,34.9464599582625,47.04944017588886,28.871545129580383,28.28639873175481,-6.748039800572537,-37.146757483874495,-14.980391087227527,-21.012170210432274,68.33236064872082,-11.400619920940192,36.26545351772285,17.257444476097373,31.953736130901156,0,0.01866924734476605,50.29013996604729,3.390905569363653,COMPLETE
83,1.251036290652904,2026-05-10 18:25:50.271633,2026-05-10 18:25:57.658001,0 days 00:00:07.386368,45.94520766994938,42.82204125303865,24.10209201268681,30.979471096656667,-2.0430639367128167,-37.398314293240276,-11.948926707934893,-25.73549359205494,64.63294850756735,-9.391811169784184,33.87822307866488,17.828601834133487,26.5721202067498,0,1.5628387172375002,43.809306224625665,5.050540646215034,COMPLETE
84,1.211694326933507,2026-05-10 18:25:57.658044,2026-05-10 18:26:05.508872,0 days 00:00:07.850828,48.335421643212975,37.108956575500585,28.157279095965585,26.123881748824612,-8.400391036721198,-34.631910836397665,-8.349187885360973,-20.523408078136832,62.1663820160024,-14.828852330707866,30.873163270443438,15.659538268643239,30.13739873733137,0,2.2764755464551953,54.183939431818,2.2205194183891206,COMPLETE
85,1.2168500327439424,2026-05-10 18:26:05.508916,2026-05-10 18:26:13.396271,0 days 00:00:07.887355,31.96300868768748,28.039238474207057,25.778542316118696,29.62164234956351,-13.80873512247068,-38.57450085407289,-15.836332980464807,-45.609599802380195,58.175698601597055,-12.962328463119455,32.15578140286066,14.063918073901217,37.66104185561604,0,0.9246088708434115,56.55031072618072,2.7187860123809413,COMPLETE
